pid;name;born;nationality;features
11241202150011;;1961;DZ;POSTAVA střední,BARVA VLASŮ hnědočerné,TVAR VLASŮ rovné,BARVA OČÍ zelená
13280203170011;;1975;UA;POSTAVA střední,BARVA VLASŮ hnědé,TVAR VLASŮ rovné,BARVA OČÍ hnědá
9520723080707;;1979;CZ;POSTAVA střední,BARVA VLASŮ hnědé,STŘIH VOUSŮ oholen,BARVA OČÍ šedá
8120103170402;;2001;CZ;POSTAVA střední,BARVA VLASŮ černé,BARVA OČÍ hnědá
9350909160409;;1994;CZ;POSTAVA hubená,BARVA VLASŮ černé,STŘIH VOUSŮ strniště,BARVA OČÍ černá
14130922160011;;1974;RO;2
12300628160305;;1989;RO;POSTAVA hubená,BARVA VLASŮ hnědé,TVAR VLASŮ vlnité,BARVA OČÍ hnědá
10290527140311;;1967;SK;POSTAVA hubená,BARVA VLASŮ hnědé,BARVA OČÍ hnědá
9071221010705;;1980;CZ;POSTAVA hubená,BARVA VLASŮ hnědé,TVAR VLASŮ rovné,BARVA OČÍ hnědá
14431026160011;;1987;UA;POSTAVA hubená,BARVA VLASŮ hnědé,TVAR VLASŮ rovné,BARVA OČÍ modrá,TETOVÁNÍ PRAVÉ PŘEDLOKTÍ TETOVÁNÍ HRUDNÍK  PRSA
8520218151409;;1971;CZ;POSTAVA střední,BARVA VLASŮ hnědé,TVAR VLASŮ rovné,BARVA OČÍ hnědá
9411206160115;;1979;CZ;POSTAVA střední,BARVA VLASŮ hnědé,TVAR VLASŮ vlnité,BARVA OČÍ modrá
14460418120704;;1990;CZ;POSTAVA střední,BARVA OČÍ modrá
13490404131706;;1989;PL;POSTAVA střední
9270303170604;;1958;BG;POSTAVA střední,BARVA VLASŮ šedé,TVAR VLASŮ vlnité,STŘIH VOUSŮ strniště
7580120150707;;1961;BG;POSTAVA střední,BARVA VLASŮ hnědé BARVA VLASŮ šedé,TVAR VLASŮ vlnité,STŘIH VOUSŮ knír
17041019150108;;1959;I;POSTAVA střední,BARVA VLASŮ hnědé,ZNALOST JAZYKŮ italský
9240701140502;;1978;IND;POSTAVA střední,BARVA VLASŮ černé,TVAR VLASŮ vlnité,BARVA OČÍ hnědá
11381106120106;;1969;SK;POSTAVA střední,BARVA VLASŮ hnědé,BARVA OČÍ hnědá
14540421161405;;1966;CZ;POSTAVA hubená,BARVA VLASŮ hnědé,TVAR VLASŮ rovné,BARVA OČÍ hnědá
14030214170305;;1994;RO;POSTAVA střední,BARVA VLASŮ hnědé,TVAR VLASŮ rovné,BARVA VOUSŮ hnědé STŘIH VOUSŮ knír STŘIH VOUSŮ bradka,BARVA OČÍ hnědá
14540611150707;;1978;CZ;POSTAVA hubená,BARVA VLASŮ hnědé,STŘIH VOUSŮ oholen STŘIH VOUSŮ knír,BARVA OČÍ šedá,TETOVÁNÍ LEVÁ RUKA
11120326080608;;1981;CZ;POSTAVA hubená,BARVA VLASŮ hnědé,TVAR VLASŮ rovné,BARVA OČÍ modrá
8400830990020;;1967;GE;POSTAVA střední,BARVA VLASŮ hnědočerné
11401120150114;;1991;LV;2
10161122140014;;1994;RO;POSTAVA obézní,BARVA VLASŮ hnědočerné,STŘIH VOUSŮ strniště,BARVA OČÍ hnědá
13260726120406;;1985;RO;POSTAVA střední,BARVA VLASŮ černé,TVAR VLASŮ rovné,BARVA VOUSŮ černé STŘIH VOUSŮ oholen,BARVA OČÍ hnědá
9080806990111;;1948;CZ;POSTAVA obézní,BARVA VLASŮ hnědočerné BARVA VLASŮ šedé,TVAR VLASŮ kudrnaté,BARVA VOUSŮ hnědočerné BARVA VOUSŮ šedé TVAR VOUSŮ kartáčovité HUSTOTA VOUSŮ středně husté STŘIH VOUSŮ bradka,BARVA OČÍ zelená
14461116161805;;1987;PL;POSTAVA střední,BARVA VLASŮ černé,TVAR VLASŮ rovné,BARVA OČÍ hnědá
9440901161801;;1984;RUS;POSTAVA hubená,BARVA VLASŮ hnědé BARVA VLASŮ odbarvené,TVAR VLASŮ rovné,BARVA OČÍ modrá
8500503100208;;1974;CZ;POSTAVA obézní,BARVA VLASŮ hnědé,STŘIH VOUSŮ bradka,BARVA OČÍ zelená
14481201140014;;1985;UA;POSTAVA střední,BARVA VLASŮ hnědočerné,TVAR VLASŮ rovné,BARVA OČÍ modrá
1410307170407;;1999;CZ;POSTAVA hubená,BARVA VLASŮ hnědé,TVAR VLASŮ rovné,BARVA OČÍ hnědá
10180203170707;;1981;BG;POSTAVA hubená,BARVA VLASŮ černé,STŘIH VOUSŮ oholen,BARVA OČÍ černá
9280203170707;;1989;BG;POSTAVA hubená,BARVA VLASŮ hnědočerné,BARVA OČÍ hnědá
8300206130305;;1972;CZ;POSTAVA střední,BARVA VLASŮ hnědé,TVAR VLASŮ rovné,BARVA OČÍ modrá
13530626060320;;1971;CZ;2
12511020165030;;1982;MOA;2
12190127140613;;1982;A;POSTAVA hubená,BARVA VLASŮ hnědočerné,TVAR VLASŮ kadeřavé,BARVA OČÍ hnědá
14310227090011;;1988;RUS;POSTAVA hubená,BARVA VLASŮ hnědé,TVAR VLASŮ rovné
10570422150115;;1975;PL;POSTAVA střední,BARVA VLASŮ šedé,TVAR VLASŮ rovné,BARVA VOUSŮ prošedivělé TVAR VOUSŮ hladké,BARVA OČÍ hnědá
12250831150602;;1968;SYR;POSTAVA střední,BARVA VLASŮ hnědočerné,BARVA OČÍ hnědá
13330209170602;;1946;SK;POSTAVA střední,BARVA VLASŮ šedé,BARVA OČÍ šedá
13460201120014;;1982;UA;POSTAVA střední,BARVA VLASŮ plavé (blond) BARVA VLASŮ hnědé,BARVA OČÍ šedá
11460414150020;;1964;CZ;POSTAVA střední
13561223130020;;1961;CZ;POSTAVA střední,BARVA VLASŮ hnědočerné,BARVA OČÍ hnědá
15321215130020;;1987;MK;POSTAVA střední
8010211070020;;1982;MK;POSTAVA hubená,BARVA VLASŮ hnědé,TVAR VLASŮ rovné,BARVA OČÍ zelená BARVA OČÍ hnědá
11231017161607;;1975;CZ;POSTAVA hubená,BARVA VLASŮ hnědé,BARVA OČÍ hnědá
11001014161709;;1995;CZ;POSTAVA hubená,BARVA VLASŮ plavé (blond),BARVA OČÍ zelená
9400826160013;;1997;MOA;POSTAVA střední,BARVA VLASŮ hnědočerné
14521115160305;;1985;RO;BARVA VLASŮ hnědé,BARVA OČÍ hnědá,            
14170919160011;;1985;SK;POSTAVA střední,BARVA VLASŮ plavé (blond),TVAR VLASŮ rovné,BARVA OČÍ modrá
21360302170410;;1999;CZ;2
9211007110604;;1988;CZ;POSTAVA hubená,BARVA VLASŮ hnědočerné,TVAR VLASŮ rovné,BARVA OČÍ modrá
11300223170014;;;;2
12580316101511;;1988;SK;2
9110302170403;;1985;CZ;POSTAVA střední,BARVA VLASŮ hnědé,TVAR VLASŮ rovné,BARVA OČÍ hnědá
20211230160407;;2001;CZ;POSTAVA hubená,BARVA VLASŮ černé,BARVA OČÍ hnědá
12531130070013;;1961;CZ;POSTAVA střední,BARVA VLASŮ černé
9300420100310;;1976;CZ;POSTAVA střední,BARVA VLASŮ černé,TVAR VLASŮ rovné,BARVA OČÍ hnědá
8540520161706;;1972;SK;POSTAVA střední,BARVA VLASŮ hnědočerné
10070123171508;;1999;CZ;POSTAVA hubená,BARVA VLASŮ černé,TVAR VLASŮ rovné,BARVA OČÍ hnědá
14490716150011;;1966;LV;POSTAVA střední,BARVA VLASŮ hnědé,BARVA OČÍ hnědá
13080701090113;;1972;CZ;POSTAVA střední,BARVA VLASŮ hnědočerné,TVAR VLASŮ rovné
7530227170707;;1984;CZ;POSTAVA střední,BARVA VLASŮ hnědé,BARVA OČÍ modrá
14001204150305;;1989;CZ;POSTAVA střední,BARVA VLASŮ černé,BARVA OČÍ hnědá
14251009121607;;1965;CZ;POSTAVA hubená,BARVA OČÍ hnědá
9180603080707;;1974;CZ;POSTAVA střední,BARVA VLASŮ hnědé,BARVA OČÍ šedá
9101213100107;;1951;CZ;POSTAVA střední,BARVA VLASŮ šedé
13280120170602;;1983;SRB;POSTAVA střední,BARVA VLASŮ hnědočerné,TVAR VLASŮ rovné,BARVA OČÍ hnědá
11011003140305;;1981;UA;POSTAVA střední,BARVA VLASŮ plavé (blond),TVAR VLASŮ rovné,BARVA OČÍ modrá
9110606130602;;1989;CZ;POSTAVA střední,BARVA VLASŮ hnědé,BARVA OČÍ šedá
10500108151804;;1969;;POSTAVA střední,BARVA VLASŮ hnědočerné,TVAR VLASŮ rovné,BARVA OČÍ hnědá
13210117170014;;1974;CZ;POSTAVA střední,BARVA VLASŮ plavé (blond),TVAR VLASŮ kadeřavé,BARVA OČÍ šedá
15310627160707;;1986;CZ;POSTAVA střední,BARVA VLASŮ černé,STŘIH VOUSŮ oholen,BARVA OČÍ černá
13030912160409;;1977;SK;POSTAVA obézní,BARVA VLASŮ černé,TVAR VLASŮ rovné,STŘIH VOUSŮ bradka STŘIH VOUSŮ strniště,BARVA OČÍ hnědá,TETOVÁNÍ PRAVÉ PŘEDLOKTÍ TETOVÁNÍ LEVÉ PŘEDLOKTÍ
7461231980707;;1959;CZ;BARVA OČÍ hnědá
8571104160104;;1987;CZ;POSTAVA hubená,BARVA VLASŮ hnědé,TVAR VLASŮ rovné,BARVA OČÍ modrá BARVA OČÍ zelená
10130530970707;;1961;CZ;POSTAVA střední,BARVA VLASŮ hnědé,TVAR VLASŮ rovné,BARVA OČÍ hnědá
10330624160408;;1966;CZ;2
8250304160602;;1981;SK;2
13270111170504;;1977;CZ;POSTAVA hubená,BARVA VLASŮ černé,TVAR VLASŮ kadeřavé,STŘIH VOUSŮ oholen,BARVA OČÍ zelená BARVA OČÍ hnědá
13591108120014;;1982;SK;POSTAVA střední
9180219160301;;1972;CZ;POSTAVA hubená,BARVA VLASŮ černé
13170703060605;;1982;CZ;POSTAVA střední,BARVA VLASŮ hnědé,TVAR VLASŮ vlnité,BARVA OČÍ hnědá
12470209171706;;1971;MNG;2
12150303170410;;1958;H;POSTAVA obézní,BARVA VLASŮ černé,TVAR VLASŮ rovné,STŘIH VOUSŮ strniště,BARVA OČÍ hnědá
13510825150707;;1995;CZ;POSTAVA hubená,BARVA VLASŮ černé,STŘIH VOUSŮ oholen,BARVA OČÍ hnědá
6181102150407;;2000;CZ;POSTAVA hubená,BARVA VLASŮ hnědé,TVAR VLASŮ rovné,BARVA OČÍ hnědá
9081220160407;;1982;SK;POSTAVA střední,BARVA VLASŮ černé,TVAR VLASŮ rovné,TVAR VOUSŮ kartáčovité STŘIH VOUSŮ knír,BARVA OČÍ hnědá
11151203140407;;1989;SK;POSTAVA hubená,BARVA VLASŮ hnědé,BARVA OČÍ hnědá
13120117170106;;1958;CZ;POSTAVA střední,BARVA VLASŮ hnědočerné,TVAR VLASŮ vlnité,BARVA OČÍ hnědá
8290708160104;;1981;CZ;POSTAVA střední,BARVA VLASŮ hnědočerné,TVAR VLASŮ rovné,BARVA OČÍ hnědá
7540726060307;;1962;CZ;POSTAVA střední,BARVA VLASŮ hnědočerné,BARVA OČÍ hnědá
16420729101805;;1970;CZ;POSTAVA obézní,BARVA VLASŮ hnědočerné,BARVA OČÍ modrá
21110219170407;;;;2
9081229160403;;1993;CZ;POSTAVA střední,BARVA VLASŮ černé,TVAR VLASŮ rovné,BARVA OČÍ hnědá
9451120120403;;1985;CZ;POSTAVA střední,BARVA VLASŮ hnědočerné,TVAR VLASŮ vlnité,BARVA OČÍ zelená
14080713060707;;1973;CZ;POSTAVA střední,BARVA VLASŮ hnědočerné,TVAR VLASŮ kudrnaté,BARVA OČÍ hnědá
14591217150409;;2000;CZ;POSTAVA hubená,BARVA VLASŮ hnědočerné,BARVA OČÍ hnědá
8371026160014;;1982;H;POSTAVA střední,BARVA VLASŮ hnědočerné,BARVA OČÍ hnědá
10010126170403;;1990;CZ;POSTAVA hubená,BARVA VLASŮ hnědé BARVA VLASŮ hnědočerné,TVAR VLASŮ rovné,BARVA OČÍ modrá
14220524161614;;1981;CZ;POSTAVA střední,BARVA VLASŮ hnědé,BARVA OČÍ hnědá
13040901151408;;1974;CZ;2
10540718060014;;1956;CZ;POSTAVA střední,BARVA VLASŮ hnědé
8131210121515;;1967;CZ;2
9310912140602;;1971;CZ;POSTAVA hubená,BARVA VLASŮ hnědočerné,TVAR VLASŮ rovné,BARVA OČÍ modrá
10120930160410;;1990;SK;POSTAVA hubená,BARVA VLASŮ černé,BARVA OČÍ hnědá
22290227170510;;1999;CZ;POSTAVA hubená,BARVA VLASŮ hnědé,TVAR VLASŮ kudrnaté,BARVA OČÍ zelená
8580707150707;;1982;CZ;POSTAVA střední,BARVA VLASŮ hnědočerné
10440129020401;;1970;SK;POSTAVA obézní,BARVA VLASŮ hnědé,TVAR VLASŮ rovné,BARVA VOUSŮ hnědé STŘIH VOUSŮ knír,BARVA OČÍ šedá BARVA OČÍ zelená,TETOVÁNÍ LEVÉ PŘEDLOKTÍ BRADAVICE LEVÁ TVAŘ,ZNALOST JAZYKŮ slovenský ZNALOST JAZYKŮ maďarský
11580810120115;;1970;CH;POSTAVA hubená,BARVA VLASŮ hnědé
14411214150308;;1982;UA;POSTAVA hubená,BARVA VLASŮ hnědé,TVAR VLASŮ rovné,BARVA OČÍ modrá
9550804160409;;1965;CZ;POSTAVA střední,BARVA VLASŮ hnědočerné BARVA VLASŮ šedé,BARVA VOUSŮ prošedivělé STŘIH VOUSŮ knír STŘIH VOUSŮ bradka,BARVA OČÍ modrá
11301002150707;;1967;CZ;POSTAVA střední,BARVA VLASŮ hnědočerné,STŘIH VOUSŮ bradka
14330309160116;;1975;H;POSTAVA střední,BARVA VLASŮ hnědočerné,TVAR VLASŮ rovné,BARVA VOUSŮ hnědočerné STŘIH VOUSŮ strniště
13481006160707;;1990;CZ;POSTAVA střední,BARVA VLASŮ černé,BARVA OČÍ zelená
9261128130707;;1993;CZ;POSTAVA střední,BARVA VLASŮ černé,BARVA OČÍ hnědá
7450805150707;;1980;CZ;POSTAVA střední,BARVA VLASŮ hnědočerné,BARVA OČÍ zelená
7450302170702;;;;2
10041103161409;;1983;SK;POSTAVA střední,BARVA VLASŮ černé,TVAR VLASŮ rovné,BARVA OČÍ hnědá
14391216160409;;1994;CZ;POSTAVA hubená,BARVA VLASŮ černé,BARVA OČÍ hnědá BARVA OČÍ černá
13300902100703;;1968;SK;POSTAVA střední,BARVA VLASŮ hnědé,BARVA VOUSŮ hnědé STŘIH VOUSŮ oholen,BARVA OČÍ hnědá
11301002150707;;1967;CZ;POSTAVA střední,BARVA VLASŮ hnědočerné,STŘIH VOUSŮ bradka
10490823110707;;1995;CZ;POSTAVA hubená,BARVA VLASŮ hnědé,STŘIH VOUSŮ oholen,BARVA OČÍ hnědá
8381214160116;;1970;CZ;POSTAVA střední,BARVA VLASŮ hnědé BARVA VLASŮ šedé,BARVA OČÍ šedá BARVA OČÍ modrá
10310302170707;;1995;CZ;POSTAVA hubená,BARVA OČÍ hnědá
12070117140704;;1987;CZ;POSTAVA střední,BARVA VLASŮ hnědé,TVAR VLASŮ rovné
10400518160704;;1987;E;2
9000630160403;;1962;E;POSTAVA střední,BARVA VLASŮ černé,TVAR VLASŮ rovné,BARVA OČÍ hnědá
9050310160604;;1974;UA;POSTAVA střední,BARVA VLASŮ hnědé,TVAR VLASŮ rovné,BARVA VOUSŮ prošedivělé STŘIH VOUSŮ strniště,BARVA OČÍ modrá
9050310160604;;1974;UA;POSTAVA střední,BARVA VLASŮ hnědé,TVAR VLASŮ rovné,BARVA VOUSŮ prošedivělé STŘIH VOUSŮ strniště,BARVA OČÍ modrá
8300309170206;;1982;CZ;POSTAVA střední,BARVA VLASŮ hnědé,BARVA OČÍ zelená
9261102150402;;1976;CZ;POSTAVA hubená,BARVA VLASŮ hnědé,BARVA OČÍ modrá
10200625100707;;1974;CZ;POSTAVA střední,BARVA VLASŮ hnědé,TVAR VLASŮ rovné
9020503010020;;1975;CZ;POSTAVA střední,BARVA VLASŮ hnědočerné,STŘIH VOUSŮ strniště
9510715160606;;1986;CZ;POSTAVA hubená POSTAVA střední,BARVA VLASŮ hnědé,TVAR VLASŮ vlnité,BARVA OČÍ hnědá
19320309120704;;1952;CZ;POSTAVA obézní,BARVA VLASŮ hnědé,BARVA OČÍ modrá
9150812160106;;1991;SK;POSTAVA střední,BARVA VLASŮ hnědé,BARVA OČÍ hnědá
13220917151405;;1968;CZ;POSTAVA obézní,BARVA VLASŮ hnědé,TVAR VLASŮ vlnité,BARVA VOUSŮ hnědé BARVA VOUSŮ prošedivělé STŘIH VOUSŮ knír STŘIH VOUSŮ plnovous,BARVA OČÍ modrá
10171116161811;;1993;CZ;POSTAVA střední,BARVA VLASŮ hnědé,TVAR VLASŮ rovné,BARVA OČÍ hnědá
13050418080604;;1980;CZ;POSTAVA hubená,BARVA VLASŮ plavé (blond),TVAR VLASŮ rovné,BARVA OČÍ modrá BARVA OČÍ zelená
14151215161801;;1992;CZ;POSTAVA střední,BARVA VLASŮ hnědočerné
11060513160014;;1956;CZ;POSTAVA hubená,BARVA VLASŮ černé BARVA VLASŮ šedé,BARVA OČÍ modrá
14150609160702;;1991;CZ;POSTAVA střední,BARVA VLASŮ černé,TVAR VLASŮ rovné,BARVA OČÍ šedá
17410228170201;;1964;CZ;POSTAVA střední,BARVA VLASŮ černé,TVAR VLASŮ rovné,BARVA VOUSŮ prošedivělé STŘIH VOUSŮ bradka,BARVA OČÍ černá
12271030070201;;1959;SK;POSTAVA střední POSTAVA obézní,BARVA VLASŮ plavé (blond) BARVA VLASŮ ryšavé,TVAR VLASŮ rovné TVAR VLASŮ vlnité,STŘIH VOUSŮ oholen,BARVA OČÍ šedá BARVA OČÍ hnědá,ZNALOST JAZYKŮ slovenský ZNALOST JAZYKŮ polský
17580202990610;;1944;CZ;POSTAVA hubená,BARVA VLASŮ plavé (blond),TVAR VLASŮ rovné,BARVA OČÍ modrá
14090810160115;;1973;BIH;POSTAVA střední,TVAR VLASŮ rovné
13070410060707;;1979;CZ;POSTAVA střední,BARVA VLASŮ hnědé,BARVA OČÍ hnědá
9170116130013;;1991;MNG;POSTAVA hubená,BARVA VLASŮ černé,TVAR VLASŮ rovné,BARVA VOUSŮ černé HUSTOTA VOUSŮ řídké,BARVA OČÍ černá
9530925150604;;1971;A;POSTAVA hubená,BARVA VLASŮ hnědočerné,TVAR VLASŮ rovné,BARVA VOUSŮ černé STŘIH VOUSŮ oholen STŘIH VOUSŮ knír STŘIH VOUSŮ strniště,BARVA OČÍ hnědá
14080820090406;;1973;CZ;POSTAVA střední,BARVA VLASŮ hnědočerné,TVAR VLASŮ rovné,BARVA OČÍ šedá BARVA OČÍ modrá
14251105140408;;1992;CZ;2
14301017160101;;1984;RO;POSTAVA střední,BARVA VLASŮ černé,BARVA OČÍ hnědá
14180214171405;;1987;SK;BARVA VLASŮ černé,TVAR VLASŮ kadeřavé,BARVA VOUSŮ černé STŘIH VOUSŮ strniště,BARVA OČÍ hnědá
10210504100103;;1987;UA;POSTAVA hubená,BARVA VLASŮ hnědočerné,TVAR VLASŮ rovné,BARVA OČÍ hnědá
14160304151805;;1979;UA;POSTAVA střední,BARVA VLASŮ šedé,TVAR VLASŮ rovné,STŘIH VOUSŮ strniště,BARVA OČÍ hnědá
